%wavelength	Mua Oil	Mua water	cpta (mm-1)/(mg/L)	Mua Triton
812	-0.008174177	-0.002924283	7.54E-05	-0.008496539
814	-0.0081051	-0.002816829	7.27E-05	-0.008473513
816	-0.0081051	-0.00284753	7.46E-05	-0.008335358
818	-0.008059048	-0.002763102	7.59E-05	-0.008404436
820	-0.008082074	-0.002709375	7.30E-05	-0.00838141
822	-0.008082074	-0.002624947	6.95E-05	-0.008404436
824	-0.00798997	-0.00244074	6.14E-05	-0.008312332
826	-0.008036022	-0.002233508	7.19E-05	-0.008358384
828	-0.00798997	-0.002072327	6.42E-05	-0.008289306
830	-0.008012996	-0.001772991	6.37E-05	-0.008243255
832	-0.008012996	-0.001542732	6.09E-05	-0.008151151
834	-0.008012996	-0.001512031	6.53E-05	-0.008220229
836	-0.007966944	-0.001243396	6.49E-05	-0.008012996
838	-0.008012996	-0.001266422	5.64E-05	-0.008082074
840	-0.007966944	-0.001158968	5.81E-05	-0.00798997
842	-0.008082074	-0.001228045	5.98E-05	-0.008059048
844	-0.008036022	-0.001105241	5.92E-05	-0.008036022
846	-0.008012996	-0.001013137	5.64E-05	-0.007966944
848	-0.008036022	-0.001013137	5.75E-05	-0.007966944
850	-0.008036022	-0.000921034	5.19E-05	-0.007966944
852	-0.008012996	-0.000851956	5.96E-05	-0.00785949
854	-0.008036022	-0.000851956	5.68E-05	-0.007874841
856	-0.00798997	-0.000759853	4.97E-05	-0.007759712
858	-0.007920893	-0.00066775	5.25E-05	-0.007690634
860	-0.007897867	-0.000598672	4.70E-05	-0.007483402
862	-0.00785949	-0.000690776	4.74E-05	-0.0074527
864	-0.007851815	-0.000713801	4.46E-05	-0.007283844
866	-0.007805763	-0.000598672	4.79E-05	-0.00716104
868	-0.007590856	-0.000483543	4.91E-05	-0.006984508
870	-0.007460376	-0.000391439	5.24E-05	-0.006923106
872	-0.007322221	-0.000299336	4.47E-05	-0.006915431
874	-0.007091962	-0.000184207	4.88E-05	-0.006815652
876	-0.006838678	-4.61E-05	4.53E-05	-0.006861704
878	-0.006631445	-6.91E-05	4.71E-05	-0.006861704
880	-0.006193954	0.000207233	4.58E-05	-0.006746574
882	-0.00582554	0.000253284	4.25E-05	-0.006654471
884	-0.005249894	0.000414465	4.50E-05	-0.006424212
