%wavelength nm	Hb02 mm-1/mM	Hb mm-1/mM	H20 1/mm	fat  (mm-1 ) 	icg (mm-1/mM)	mb (mm-1/mM)
880	0.27593	0.19234	0.0052783	0.0018641	0.223062931	0.011047228
882	0.27719	0.19365	0.0053922	0.0022118	0.211166241	0.011047228
884	0.27843	0.19495	0.005497	0.0026797	0.193321207	0.011047228
886	0.27957	0.19626	0.0056	0.0031556	0.181424517	0.011047228
888	0.28065	0.19751	0.0057182	0.0036758	0.172502	0.01196783
890	0.28153	0.19855	0.0058485	0.0041997	0.16060531	0.011047228
892	0.2824	0.19958	0.0059722	0.0044651	0.148708621	0.011047228
894	0.28325	0.20054	0.0060786	0.0047047	0.139786103	0.010126625
896	0.2841	0.20149	0.006185	0.0047409	0.124915241	0.010126625
898	0.28495	0.20243	0.0062922	0.0047531	0.113018552	0.009206023
900	0.28578	0.20332	0.0063994	0.0048954	0.107070207	0.009206023
902	0.28656	0.20406	0.0065231	0.0050558	0	0
904	0.2873	0.20471	0.0066532	0.0054783	0	0
906	0.28795	0.20514	0.0067955	0.0059422	0	0
908	0.28854	0.20546	0.0069531	0.0066533	0	0
910	0.28903	0.20552	0.0071212	0.0074085	0	0
912	0.28945	0.20546	0.0073413	0.0081308	0	0
914	0.28974	0.20517	0.0075615	0.0088464	0	0
916	0.29	0.20475	0.0078922	0.0094176	0	0
918	0.29018	0.20409	0.0082367	0.0099567	0	0
920	0.29035	0.20325	0.0087093	0.010469	0	0
922	0.29052	0.20209	0.0092633	0.010974	0	0
924	0.29067	0.20073	0.0098433	0.011345	0	0
926	0.29079	0.19904	0.010475	0.011681	0	0
928	0.29086	0.19712	0.01113	0.011631	0	0
930	0.29086	0.19486	0.012188	0.011466	0	0
932	0.29075	0.19243	0.013246	0.010754	0	0
934	0.29049	0.18977	0.014419	0.0098676	0	0
936	0.2902	0.18694	0.015625	0.0086855	0	0
938	0.2899	0.18392	0.017071	0.0074003	0	0
940	0.28959	0.18072	0.018757	0.0062007	0	0
942	0.28928	0.17735	0.02044	0.0050332	0	0
944	0.28891	0.17373	0.022112	0.0041383	0	0
946	0.28846	0.16985	0.023784	0.0033536	0	0
948	0.28794	0.1658	0.026747	0.002785	0	0
950	0.28735	0.1616	0.029785	0.0023107	0	0
952	0.28671	0.1573	0.032953	0.0019588	0	0
954	0.28603	0.15292	0.036186	0.001664	0	0
956	0.28521	0.1485	0.039088	0.0014508	0	0
958	0.28427	0.14406	0.041468	0.0012784	0	0
960	0.28329	0.13961	0.04374	0.001147	0	0
962	0.2823	0.13516	0.045152	0.0010374	0	0
964	0.2813	0.13071	0.046564	0.00095481	0	0
966	0.2803	0.12626	0.047179	0.00088752	0	0
968	0.27929	0.12282	0.047635	0.00083798	0	0
970	0.27827	0.12001	0.048005	0.00079924	0	0
972	0.27723	0.11802	0.048306	0.00077074	0	0
